sequence,latitude,longitude,altitude
2022-07-10 18:17:52+00:00,32.6375,-117.0819,137.663866
2022-07-10 18:17:52+00:00,32.6375,-117.082,137.663866
2022-07-10 18:17:52+00:00,32.6376,-117.082,137.663866
2022-07-10 18:17:53+00:00,32.6376,-117.082,137.663866
2022-07-10 18:17:53+00:00,32.6376,-117.082,137.563866
2022-07-10 18:17:53+00:00,32.6376,-117.082,137.463866
2022-07-10 18:17:54+00:00,32.6376,-117.082,137.463866
2022-07-10 18:17:54+00:00,32.6376,-117.082,137.363866
2022-07-10 18:17:55+00:00,32.6376,-117.082,137.363866
2022-07-10 18:17:56+00:00,32.6376,-117.082,137.363866
2022-07-10 18:17:57+00:00,32.6376,-117.082,137.363866
2022-07-10 18:17:58+00:00,32.6376,-117.082,137.363866
2022-07-10 18:17:59+00:00,32.6376,-117.082,137.363866
2022-07-10 18:17:59+00:00,32.6376,-117.082,137.463866
2022-07-10 18:18:00+00:00,32.6376,-117.082,137.463866
2022-07-10 18:18:01+00:00,32.6376,-117.082,137.463866
2022-07-10 18:18:02+00:00,32.6376,-117.082,137.463866
2022-07-10 18:18:02+00:00,32.6376,-117.082,137.363866
2022-07-10 18:18:03+00:00,32.6376,-117.082,137.363866
2022-07-10 18:18:03+00:00,32.6376,-117.082,137.463866
2022-07-10 18:18:04+00:00,32.6376,-117.082,137.463866
2022-07-10 18:18:05+00:00,32.6376,-117.082,137.463866
2022-07-10 18:18:05+00:00,32.6376,-117.082,137.363866
2022-07-10 18:18:06+00:00,32.6376,-117.082,137.363866
2022-07-10 18:18:06+00:00,32.6376,-117.082,137.463866
2022-07-10 18:18:06+00:00,32.6376,-117.082,137.563866
2022-07-10 18:18:07+00:00,32.6376,-117.082,137.663866
2022-07-10 18:18:07+00:00,32.6376,-117.082,137.763866
2022-07-10 18:18:08+00:00,32.6376,-117.082,137.763866
2022-07-10 18:18:08+00:00,32.6376,-117.082,137.663866
2022-07-10 18:18:09+00:00,32.6376,-117.082,137.663866
2022-07-10 18:18:10+00:00,32.6376,-117.082,137.663866
2022-07-10 18:18:11+00:00,32.6376,-117.082,137.663866
2022-07-10 18:18:12+00:00,32.6376,-117.082,137.663866
2022-07-10 18:18:13+00:00,32.6376,-117.082,137.763866
2022-07-10 18:18:14+00:00,32.6376,-117.082,137.763866
2022-07-10 18:18:14+00:00,32.6376,-117.082,137.663866
2022-07-10 18:18:15+00:00,32.6376,-117.082,137.663866
2022-07-10 18:18:16+00:00,32.6376,-117.082,137.663866
2022-07-10 18:18:17+00:00,32.6376,-117.082,137.763866
2022-07-10 18:18:18+00:00,32.6376,-117.082,137.763866
2022-07-10 18:18:18+00:00,32.6376,-117.082,137.663866
2022-07-10 18:18:19+00:00,32.6376,-117.082,137.663866
2022-07-10 18:18:20+00:00,32.6376,-117.082,137.663866
2022-07-10 18:18:20+00:00,32.6376,-117.082,137.763866
2022-07-10 18:18:21+00:00,32.6376,-117.082,137.763866
2022-07-10 18:18:22+00:00,32.6376,-117.082,137.763866
2022-07-10 18:18:23+00:00,32.6376,-117.082,137.763866
2022-07-10 18:18:23+00:00,32.6376,-117.082,137.663866
2022-07-10 18:18:24+00:00,32.6376,-117.082,137.663866
2022-07-10 18:18:24+00:00,32.6376,-117.082,137.763866
2022-07-10 18:18:25+00:00,32.6376,-117.082,137.763866
2022-07-10 18:18:25+00:00,32.6376,-117.082,137.663866
2022-07-10 18:18:26+00:00,32.6376,-117.082,137.663866
2022-07-10 18:18:27+00:00,32.6376,-117.082,137.663866
2022-07-10 18:18:28+00:00,32.6376,-117.082,137.663866
2022-07-10 18:18:29+00:00,32.6376,-117.082,137.663866
2022-07-10 18:18:29+00:00,32.6376,-117.082,137.563866
2022-07-10 18:18:30+00:00,32.6376,-117.082,137.663866
2022-07-10 18:18:30+00:00,32.6376,-117.0821,137.663866
2022-07-10 18:18:31+00:00,32.6376,-117.0821,137.663866
2022-07-10 18:18:32+00:00,32.6376,-117.0822,137.663866
2022-07-10 18:18:33+00:00,32.6376,-117.0823,137.663866
2022-07-10 18:18:33+00:00,32.6376,-117.0823,137.763866
2022-07-10 18:18:33+00:00,32.6376,-117.0824,137.763866
2022-07-10 18:18:34+00:00,32.6376,-117.0824,137.763866
2022-07-10 18:18:34+00:00,32.6376,-117.0824,137.663866
2022-07-10 18:18:34+00:00,32.6376,-117.0825,137.763866
2022-07-10 18:18:34+00:00,32.6376,-117.0825,137.863866
2022-07-10 18:18:35+00:00,32.6376,-117.0825,137.863866
2022-07-10 18:18:35+00:00,32.6377,-117.0825,137.863866
2022-07-10 18:18:35+00:00,32.6377,-117.0825,137.963866
2022-07-10 18:18:35+00:00,32.6377,-117.0825,138.063866
2022-07-10 18:18:35+00:00,32.6377,-117.0825,138.163866
2022-07-10 18:18:36+00:00,32.6377,-117.0825,138.163866
2022-07-10 18:18:36+00:00,32.6377,-117.0825,138.063866
2022-07-10 18:18:36+00:00,32.6377,-117.0825,137.963866
2022-07-10 18:18:37+00:00,32.6377,-117.0825,137.963866
2022-07-10 18:18:37+00:00,32.6377,-117.0825,137.863866
2022-07-10 18:18:37+00:00,32.6377,-117.0825,137.763866
2022-07-10 18:18:38+00:00,32.6377,-117.0825,137.763866
2022-07-10 18:18:38+00:00,32.6377,-117.0825,137.663866
2022-07-10 18:18:39+00:00,32.6377,-117.0825,137.663866
2022-07-10 18:18:40+00:00,32.6377,-117.0825,137.663866
2022-07-10 18:18:41+00:00,32.6377,-117.0825,137.663866
2022-07-10 18:18:42+00:00,32.6377,-117.0825,137.663866
2022-07-10 18:18:42+00:00,32.6377,-117.0825,137.763866
2022-07-10 18:18:43+00:00,32.6377,-117.0825,137.763866
2022-07-10 18:18:44+00:00,32.6377,-117.0825,137.763866
2022-07-10 18:18:44+00:00,32.6377,-117.0825,137.663866
2022-07-10 18:18:45+00:00,32.6377,-117.0825,137.663866
2022-07-10 18:18:46+00:00,32.6377,-117.0825,137.663866
2022-07-10 18:18:46+00:00,32.6377,-117.0825,137.763866
2022-07-10 18:18:47+00:00,32.6377,-117.0825,137.763866
2022-07-10 18:18:48+00:00,32.6377,-117.0825,137.763866
2022-07-10 18:18:48+00:00,32.6377,-117.0826,137.763866
2022-07-10 18:18:49+00:00,32.6377,-117.0826,137.763866
2022-07-10 18:18:50+00:00,32.6377,-117.0826,137.763866
2022-07-10 18:18:51+00:00,32.6377,-117.0826,137.763866
2022-07-10 18:18:51+00:00,32.6377,-117.0825,137.763866
2022-07-10 18:18:52+00:00,32.6377,-117.0825,137.763866
2022-07-10 18:18:52+00:00,32.6377,-117.0825,137.663866
2022-07-10 18:18:53+00:00,32.6377,-117.0825,137.663866
2022-07-10 18:18:54+00:00,32.6377,-117.0825,137.663866
2022-07-10 18:18:54+00:00,32.6377,-117.0826,137.663866
2022-07-10 18:18:55+00:00,32.6377,-117.0826,137.663866
2022-07-10 18:18:55+00:00,32.6377,-117.0826,137.763866
2022-07-10 18:18:56+00:00,32.6377,-117.0826,137.763866
2022-07-10 18:18:57+00:00,32.6377,-117.0826,137.763866
2022-07-10 18:18:57+00:00,32.6377,-117.0825,137.763866
2022-07-10 18:18:57+00:00,32.6377,-117.0825,137.663866
2022-07-10 18:18:58+00:00,32.6377,-117.0826,137.663866
2022-07-10 18:18:59+00:00,32.6377,-117.0826,137.663866
2022-07-10 18:19:00+00:00,32.6377,-117.0826,137.663866
