,lat_map,lon_map,time,id,date,time_s,address_map,incident_id,type,department,clean-type,match,drone-date
8444,32.603989,-117.0856962,9:56am,65211779e097a0c91b654ffedd6a1506,2023-07-03,9:56am,700 Palomar St,CVL055970,Pedestrian Stop ,cvpd,pedestrian stop,55970,2023-07-03 09:56:00
8451,32.6067906,-117.0800823,1:35pm,13fb0cfe597b061ab81d492b4cb7740d,2023-07-03,1:35pm,600 Oxford St,CVL056059,Narcotics ,cvpd,narcotics,56059,2023-07-03 13:35:00
8464,32.6031175,-117.0788158,1:45pm,9a6e7f7d1ff5609aff57ca2ecde2e587,2023-07-04,1:45pm,600 Palomar St,L056339,Subject Threatening Others,cvpd,subject threatening others,56339,2023-07-04 13:45:00
8465,32.6099128,-117.0816837,12:49pm,6ce57c731461b1fb4f5221609545ca2b,2023-07-04,12:49pm,1100 Broadway,L056330,Burglary Alarm,cvpd,burglary alarm,56330,2023-07-04 12:49:00
8473,32.6099128,-117.0816837,5:37pm,cec5bec2dea82b5825cde4956401b2e9,2023-07-05,5:37pm,1100 Broadway,CVL056677,Subject causing a disturbance ,cvpd,subject causing a disturbance,56677,2023-07-05 17:37:00
8484,32.6099128,-117.0816837,12:14pm,2407f5e0cff0ded5762d323329a9d6b9,2023-07-05,12:14pm,1100 Broadway,L056633,Disorderly Subject,cvpd,disorderly subject,56633,2023-07-05 12:14:00
8496,32.603989,-117.0856962,3:11pm,219816121bf3f495f360a0f59b3bb635,2023-07-06,3:11pm,Industrial Blvd/ Palomar St,L056999,Weapon Threat,cvpd,weapon threat,56999,2023-07-06 15:11:00
8561,32.6031175,-117.0788158,5:32pm,9f61e78a3d657e86340bc3f852390f68,2023-07-10,5:32pm,600 Palomar Street,L058290,Fight,cvpd,fight,58290,2023-07-10 17:32:00
8581,32.6119685,-117.0821148,6:28pm,12451b2da4548078ba98d77257084ed0,2023-07-11,6:28pm,900 Fourth Ave/ 600 Crested Butte St,L058585/L058586,Fight/Drunk Driver,cvpd,fight/drunk driver,58586,2023-07-11 18:28:00
8601,32.6031175,-117.0788158,3:07pm,074d9ece349cc14c493dd0e4a2e91845,2023-07-12,3:07pm,600 Palomar St,L058845,Stolen Vehicle Located,cvpd,stolen vehicle located,58845,2023-07-12 15:07:00
