lat_map,lon_map,time,id,date,time_s,address_map,incident_id,type,department,clean-type,match,drone-date,Incident No.,Date,Description,Priority,Disposition,Call Source,Zip Code,Block Location,Case No,Address,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,Census Year,State FIPS,County FIPS,Place Name,Place FIPS,Census Tract Code,Census Block Code,Census Block Group,Full FIPS (block),Full FIPS (tract),Metro/Micro Statistical Area Name,Metro/Micro Statistical Area Code,Metro/Micro Statistical Area Type,Combined Statistical Area Name,Combined Statistical Area Code,Metropolitan Division Area Name,Metropolitan Division Area Code,cfs-date
32.6261869,-117.0918786,3:52pm,5fa47b17d8c7d30424ebfc3474c90586,2021-08-16,3:52pm,700 I St.,CVL68488,Welfare Check,cvpd,welfare check,68488,2021-08-16 15:52:00,210816L00068488,2021-08-16 16:00:10.090,Check The Area,3,HANDLED NO REPORT,citizen,91910,700 BLOCK I ST,,"700 BLOCK I ST, Chula Vista, CA, 91910",32.626281,-117.091876,1,range_interpolation,700,I St,,,Chula Vista,CA,San Diego County,91910,US,TIGER/Line® dataset from the US Census Bureau,2022,06,06073,Chula Vista,0613392,012600,2003,2,060730126002003,06073012600,"San Diego-Chula Vista-Carlsbad, CA",41740,metropolitan,,,,,2021-08-16 16:00:10.090
32.6296603,-117.0938534,1:17pm,661bc794a65f42afa1a5db32fd6fc907,2021-08-16,1:17pm,Woodlawn Ave./ H St.,CVL68439,Hit and Run,cvpd,hit and run,68439,2021-08-16 13:17:00,210816L00068439,2021-08-16 13:01:16.073,Traffic Collision,3,ASSISTED,citizen,91910,WOODLAWN AV & H ST,,"WOODLAWN AV & H ST, Chula Vista, CA, 91910",32.629719,-117.093913,1,intersection,,H St,,,Chula Vista,CA,San Diego County,91910,US,TIGER/Line® dataset from the US Census Bureau,2022,06,06073,Chula Vista,0613392,012600,1002,1,060730126001002,06073012600,"San Diego-Chula Vista-Carlsbad, CA",41740,metropolitan,,,,,2021-08-16 13:01:16.073
32.6367103,-117.1004393,9:20am,1570027aa45c2d7df2dcfb1a39b867ca,2021-08-17,9:20am,200 Bay Blvd.,CVL68609,Domestic Violence,cvpd,domestic violence,68609,2021-08-17 09:20:00,210817L00068609,2021-08-17 05:11:47.130,Assault,2,ASSISTED,citizen,91910,200 BLOCK BAY BL,2110346.0,"200 BLOCK BAY BL, Chula Vista, CA, 91910",32.636523,-117.100436,1,range_interpolation,200,Bay Blvd,,,Chula Vista,CA,San Diego County,91910,US,TIGER/Line® dataset from the US Census Bureau,2022,06,06073,Chula Vista,0613392,012502,1007,1,060730125021007,06073012502,"San Diego-Chula Vista-Carlsbad, CA",41740,metropolitan,,,,,2021-08-17 05:11:47.130
32.630947,-117.089447,7:12pm,f1c472ca5aed9a16a9c1d05d956a9f7b,2021-08-17,7:12pm,600 H St.,CVL68830,Robbery Alarm,cvpd,robbery alarm,68830,2021-08-17 19:12:00,210817L00068830,2021-08-17 19:10:50.893,Duress Alarm,1,ASSISTED,citizen,91910,600 BLOCK H ST,,"600 BLOCK H ST, Chula Vista, CA, 91910",32.631097,-117.089456,1,range_interpolation,600,H St,,,Chula Vista,CA,San Diego County,91910,US,TIGER/Line® dataset from the US Census Bureau,2022,06,06073,Chula Vista,0613392,012700,2008,2,060730127002008,06073012700,"San Diego-Chula Vista-Carlsbad, CA",41740,metropolitan,,,,,2021-08-17 19:10:50.893
32.630947,-117.089447,10:06am,598a881c8e53dffbe498ba4b517c479f,2021-08-19,10:06am,600 H,L069266,PERSON CAUSING A DISTURBANCE,cvpd,person causing a disturbance,69266,2021-08-19 10:06:00,210819L00069266,2021-08-19 07:52:21.433,Disturbance - General,3,HANDLED NO REPORT,citizen,91910,H ST & WOODLAWN AV,,"H ST & WOODLAWN AV, Chula Vista, CA, 91910",32.629719,-117.093913,1,intersection,,H St,,,Chula Vista,CA,San Diego County,91910,US,TIGER/Line® dataset from the US Census Bureau,2022,06,06073,Chula Vista,0613392,012600,1002,1,060730126001002,06073012600,"San Diego-Chula Vista-Carlsbad, CA",41740,metropolitan,,,,,2021-08-19 07:52:21.433
32.626976,-117.106682,3:07pm,66484f5c4df2c3382f1ea1b0bb9e25ea,2021-08-21,3:07pm,BAYSIDE PARK,L070020,FOUND CHILD,cvpd,found child,70020,2021-08-21 15:07:00,210821L00070020,2021-08-21 15:03:46.007,Found,2,ASSISTED,citizen,91910,900 BLOCK BAYSIDE PW,,"900 BLOCK BAYSIDE PW, Chula Vista, CA, 91910",32.630106,-117.020464,0.7,street_center,,Vista Oak Pl,,,Chula Vista,CA,San Diego County,91910,US,TIGER/Line® dataset from the US Census Bureau,2022,06,06073,Chula Vista,0613392,013414,4005,4,060730134144005,06073013414,"San Diego-Chula Vista-Carlsbad, CA",41740,metropolitan,,,,,2021-08-21 15:03:46.007
32.6342452,-117.0909928,3:33pm,f86aa302f05d2d291787454466526191,2021-08-23,3:33pm,600 G St.,CVL70613,Restraining Order Violation,cvpd,restraining order violation,70613,2021-08-23 15:33:00,210823L00070613,2021-08-23 15:26:58.180,[Protected Call Type],2,ASSISTED,citizen,91910,600 BLOCK G ST,2110639.0,"600 BLOCK G ST, Chula Vista, CA, 91910",32.634559,-117.090811,1,range_interpolation,600,G St,,,Chula Vista,CA,San Diego County,91910,US,TIGER/Line® dataset from the US Census Bureau,2022,06,06073,Chula Vista,0613392,012700,2003,2,060730127002003,06073012700,"San Diego-Chula Vista-Carlsbad, CA",41740,metropolitan,,,,,2021-08-23 15:26:58.180
32.625526,-117.0950559,6:12pm,3dbd8b940233ecce7dcaf8c4ac6e17c2,2021-08-24,6:12pm,600 Bay Blvd.,CVL70973,Suspicious Person,cvpd,suspicious person,70973,2021-08-24 18:12:00,210824L00070973,2021-08-24 18:17:40.450,Check The Area,3,HANDLED NO REPORT,citizen,91910,500 BLOCK BAY BL,,"500 BLOCK BAY BL, Chula Vista, CA, 91910",32.631095,-117.097367,1,range_interpolation,500,Bay Blvd,,,Chula Vista,CA,San Diego County,91910,US,TIGER/Line® dataset from the US Census Bureau,2022,06,06073,Chula Vista,0613392,012600,1016,1,060730126001016,06073012600,"San Diego-Chula Vista-Carlsbad, CA",41740,metropolitan,,,,,2021-08-24 18:17:40.450
32.6332605,-117.0939602,3:08pm,506d4bb6d4b80661b1025d9d05d575bc,2021-08-24,3:08pm,400 Oaklawn Ave.,CVL70924,Domestic Violence,cvpd,domestic violence,70924,2021-08-24 15:08:00,210824L00070924,2021-08-24 15:18:26.497,Assault,2,ASSISTED,citizen,91910,400 BLOCK OAKLAWN AV,2110688.0,"400 BLOCK OAKLAWN AV, Chula Vista, CA, 91910",32.633406,-117.093836,1,range_interpolation,400,Oaklawn Ave,,,Chula Vista,CA,San Diego County,91910,US,TIGER/Line® dataset from the US Census Bureau,2022,06,06073,Chula Vista,0613392,012501,2001,2,060730125012001,06073012501,"San Diego-Chula Vista-Carlsbad, CA",41740,metropolitan,,,,,2021-08-24 15:18:26.497
32.636723,-117.096191,2:15pm,42fa3285006b976ad4631d5b15db62ff,2021-08-25,2:15pm,400 WOODLAWN,L071226,DOMESTIC VIOLENCE,cvpd,domestic violence,71226,2021-08-25 14:15:00,210825L00071226,2021-08-25 14:19:14.267,[Protected Call Type],2,ASSISTED,citizen,91910,400 BLOCK WOODLAWN AV,2110721.0,"400 BLOCK WOODLAWN AV, Chula Vista, CA, 91910",32.633009,-117.095242,1,range_interpolation,400,Woodlawn Ave,,,Chula Vista,CA,San Diego County,91910,US,TIGER/Line® dataset from the US Census Bureau,2022,06,06073,Chula Vista,0613392,012501,2002,2,060730125012002,06073012501,"San Diego-Chula Vista-Carlsbad, CA",41740,metropolitan,,,,,2021-08-25 14:19:14.267
