lat_map,lon_map,time,id,date_x,time_s,address_map,incident_id,type,department,clean-type,match,population_exposed,households_exposed,total_blocks,date_y
32.6355842815559,-117.100074774917,8:20pm,7ea42a430b3b8cc801e67b7436bdb646,2023-02-11,8:20pm,850 Lagoon Dr,,,cvpd,,,0.0,0.0,4.0,2023-02-12
32.6138386,-117.0737281,10:42am,9e52bb0e07fde6548ac79881c28bae5d,2023-02-11,10:42am,400 nickman Street,cvl12434,Unknown Problem,cvpd,unknown problem,12434,2716.0,959.0,4.0,2023-02-11
32.6349668961789,-117.098832116214,4:38am,421f7bb70f69fd2b533a729e6d2e3123,2023-02-11,4:38am,310 Bay Blvd,,,cvpd,,,0.0,0.0,4.0,2023-02-11
32.6356432638648,-117.099936938711,10:30pm,3733d6742f538a8b6973b9f1e5129ba1,2023-02-11,10:30pm,850 Lagoon Dr,,,cvpd,,,0.0,0.0,4.0,2023-02-12
32.6025117,-116.9815686,12:35am,fa5d0ad988c98986ab51ab3704c8e652,2023-02-12,12:35am,,,,cvpd,,,,,,
32.6351819,-117.0916065,5:20pm,6a0f1f927689f36fe7cd2351a2af0be9,2023-02-12,5:20pm,372 Broadway,CVL12765,Suspicious Person,cvpd,suspicious person,12765,5646.0,2248.0,6.0,2023-02-13
32.6354960552272,-117.100372783795,5:10pm,7a654b455c7f43aeb149317f598cab45,2023-02-12,5:10pm,850 Lagoon Dr,,,cvpd,,,0.0,0.0,2.0,2023-02-13
32.60443,-117.088395,4:58pm,b87292a29ecc524326e91feb696ccb41,2023-02-12,4:58pm,800 Palomar St.,CVL12761,Welfare Check,cvpd,welfare check,12761,7495.0,2433.0,19.0,2023-02-13
32.6355342285495,-117.100117979397,12:21am,ee359cc94618b1adc07c92088d25f2cd,2023-02-12,12:21am,850 Lagoon Dr,,,cvpd,,,0.0,0.0,5.0,2023-02-12
32.61977782,-117.02300107,4:26pm,4fb4d4e9d00232b70550d0257e3118bb,2023-02-12,4:26pm,751 Medical Center Ct,,,cvpd,,,2089.0,703.0,2.0,2023-02-13
32.5806666,-117.1106325,3:17pm,15c206171ac04ff22263413e8de5634a,2023-02-12,3:17pm,1100 Elm Ave.,CVL12751,Fire,cvpd,fire,12751,4326.0,1486.0,12.0,2023-02-12
32.7150038,-117.157851,3:14pm,9c4c31e4868596dc9a0a23897bbd1e04,2023-02-12,3:14pm,700 E St.,CVL12743,Suspicious Person,cvpd,suspicious person,12743,6488.0,2523.0,17.0,2023-02-12
32.634753,-116.966675,3:12pm,a66a8c68788d4903204bfc951e4cb329,2023-02-12,3:12pm,2155 Corte Vista,CVL12747 ,Fire,cvpd,fire,12747,3033.0,923.0,9.0,2023-02-12
32.6137073,-117.0691405,2:56pm,e6c7d65ef4068b3dc43e9a79424276d7,2023-02-12,2:56pm,Third Ave./ Naples St.,CVL12741,Hit and Run,cvpd,hit and run,12741,4519.0,1546.0,12.0,2023-02-12
32.6323141,-117.085048,2:53pm,ff0b1a38ed82e7ca4685e899dac52d3f,2023-02-12,2:53pm,I-5/ H St.,CVL12740,Car Fire,cvpd,car fire,12740,,,,
32.6196469,-117.0232716,4:35pm,510da24139f6ba9d3d32b04d1f5d0f08,2023-02-12,4:35pm,751 Medical Center Ct.,CVL12762,Unknown Problem,cvpd,unknown problem,12762,,,,
32.6047624,-117.0810631,1:48pm,b09e5ff3678ed3241075b1ee50e80e76,2023-02-12,1:48pm,1240 Broadway,CVL12728,Theft,cvpd,theft,12728,6485.0,2111.0,11.0,2023-02-12
32.6501786,-117.0879108,2:31pm,133fc6a7567ea31d0283867bdbf8a59f,2023-02-12,2:31pm,20 Fourth Ave.,CVL12738,Welfare Check,cvpd,welfare check,12738,10894.0,4080.0,28.0,2023-02-12
32.6030067503141,-116.980868206552,12:36am,c1e2a7eaed7fe942f6e1151ab489987f,2023-02-12,12:36am,1585 Camino Altezza,,,cvpd,,,707.0,202.0,1.0,2023-02-12
32.6355464795189,-117.100126196892,12:40am,43592c678f9798e215ff826203dca2b3,2023-02-12,12:40am,850 Lagoon Dr,,,cvpd,,,0.0,0.0,3.0,2023-02-12
32.6605009,-117.0864268,7:55am,2ba35be9cab3ddf5706ad7e00951c061,2023-02-12,7:55am,1320 E. 30th St.,CVL12676,Vehicle Theft,cvpd,vehicle theft,12676,2588.0,944.0,17.0,2023-02-12
32.6605009,-117.0864268,8:41am,9d3ac85b29c70419e5b63ba528262323,2023-02-12,8:41am,1300 E 30th Street,cvl12676,Stolen Vehicle,cvpd,stolen vehicle,12676,3414.0,1327.0,17.0,2023-02-12
32.636681,-117.069054,2:17pm,44efd8b71a9f6efb6126d3c1d3cd09ba,2023-02-12,2:17pm,First Ave./ H St.,CVL12732,Collision,cvpd,collision,12732,2759.0,1074.0,15.0,2023-02-12
32.6413353,-117.0935216,10:18am,826d2cae5a03b0d990e7261f451623d2,2023-02-12,10:18am,600 e street ,cvl12693,415 subject ,cvpd,415 subject,12693,1956.0,768.0,9.0,2023-02-12
32.6001667,-117.0373145,11:26am,a9d92c635d5f7dbf0cdaf800070ce3e6,2023-02-12,11:26am,1600 Melrose Avenue,cvl12703,Fire,cvpd,fire,12703,6196.0,1874.0,22.0,2023-02-12
32.6367103,-117.1004393,11:37am,695bf97ac759a0d1aaed8b2c78c9ec57,2023-02-12,11:37am,200 Bay Blvd.,CVL12702,Suspicious Person,cvpd,suspicious person,12702,3714.0,1446.0,19.0,2023-02-12
